surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
a la	a la	a la	a|la	0	1	PDEP|WIKTIONARY	source_count=2; source_row_count=2
aback of	aback of	aback of	aback|of	0	1	WIKTIONARY	source_count=1; source_row_count=1
above and beyond	above and beyond	above and beyond	above|and|beyond	0	2	WIKTIONARY	source_count=1; source_row_count=1
above apex of	above apex of	above apex of	above|apex|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.53524574839e-10; ngram_max_frequency=2.34267738541e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above back of	above back of	above back of	above|back|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.19373325634e-10; ngram_max_frequency=3.62409047217e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above background of	above background of	above background of	above|background|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.45085017295e-10; ngram_max_frequency=1.37511346754e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above base of	above base of	above base of	above|base|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.55530803484e-09; ngram_max_frequency=2.24585292585e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above border of	above border of	above border of	above|border|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.64180198151e-11; ngram_max_frequency=1.21333540437e-10; ngram_nonzero_years=10; ngram_years=2000-2019
above bottom of	above bottom of	above bottom of	above|bottom|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.84243498574e-09; ngram_max_frequency=4.95292337005e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above boundary of	above boundary of	above boundary of	above|boundary|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.28500485494e-11; ngram_max_frequency=2.01338362649e-10; ngram_nonzero_years=7; ngram_years=2000-2019
above center of	above center of	above center of	above|center|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.50203141513e-09; ngram_max_frequency=3.27123058849e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above core of	above core of	above core of	above|core|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.09480450347e-11; ngram_max_frequency=1.05977462916e-10; ngram_nonzero_years=8; ngram_years=2000-2019
above corner of	above corner of	above corner of	above|corner|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.14426570823e-10; ngram_max_frequency=3.62409047217e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above crest of	above crest of	above crest of	above|crest|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.20385827469e-10; ngram_max_frequency=6.35864805254e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above doorway of	above doorway of	above doorway of	above|doorway|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.39956377285e-11; ngram_max_frequency=1.41980441293e-10; ngram_nonzero_years=8; ngram_years=2000-2019
above edge of	above edge of	above edge of	above|edge|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.10091750783e-10; ngram_max_frequency=1.01111286011e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above end of	above end of	above end of	above|end|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=6.85140338387e-10; ngram_max_frequency=1.771777558e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above entrance of	above entrance of	above entrance of	above|entrance|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.71969682622e-11; ngram_max_frequency=2.59262888935e-10; ngram_nonzero_years=15; ngram_years=2000-2019
above face of	above face of	above face of	above|face|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.03957759068e-10; ngram_max_frequency=1.12749476422e-09; ngram_nonzero_years=15; ngram_years=2000-2019
above foot of	above foot of	above foot of	above|foot|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.61854374884e-10; ngram_max_frequency=3.60645735498e-09; ngram_nonzero_years=18; ngram_years=2000-2019
above front edge of	above front edge of	above front edge of	above|front|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=4.3892197342e-11; ngram_max_frequency=1.85836832034e-10; ngram_nonzero_years=10; ngram_years=2000-2019
above front half of	above front half of	above front half of	above|front|half|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.10962230723e-11; ngram_max_frequency=8.01367305847e-11; ngram_nonzero_years=4; ngram_years=2000-2019
above front of	above front of	above front of	above|front|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=9.70310522035e-11; ngram_max_frequency=3.3641101016e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above front part of	above front part of	above front part of	above|front|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.86771743904e-12; ngram_max_frequency=3.73543487808e-11; ngram_nonzero_years=1; ngram_years=2000-2019
above head of	above head of	above head of	above|head|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.78012194573e-09; ngram_max_frequency=1.88855372452e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above heart of	above heart of	above heart of	above|heart|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.80534805855e-12; ngram_max_frequency=3.6106961171e-11; ngram_nonzero_years=1; ngram_years=2000-2019
above inner edge of	above inner edge of	above inner edge of	above|inner|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=3.16964562236e-11; ngram_max_frequency=2.65903077334e-10; ngram_nonzero_years=6; ngram_years=2000-2019
above inner side of	above inner side of	above inner side of	above|inner|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.31810496545e-11; ngram_max_frequency=7.65272636927e-11; ngram_nonzero_years=5; ngram_years=2000-2019
above inside of	above inside of	above inside of	above|inside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.09618029584e-10; ngram_max_frequency=3.41664391224e-10; ngram_nonzero_years=16; ngram_years=2000-2019
above interior of	above interior of	above interior of	above|interior|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.45743952063e-10; ngram_max_frequency=1.24829779846e-09; ngram_nonzero_years=16; ngram_years=2000-2019
above left of	above left of	above left of	above|left|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.78453295317e-10; ngram_max_frequency=6.666760477e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above left side of	above left side of	above left side of	above|left|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=2.88190558223e-11; ngram_max_frequency=2.00341826462e-10; ngram_nonzero_years=8; ngram_years=2000-2019
above lower corner of	above lower corner of	above lower corner of	above|lower|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=3.42351235902e-11; ngram_max_frequency=5.99709337745e-10; ngram_nonzero_years=3; ngram_years=2000-2019
above lower edge of	above lower edge of	above lower edge of	above|lower|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.93225618492e-10; ngram_max_frequency=4.68628247319e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above lower part of	above lower part of	above lower part of	above|lower|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=4.11914686388e-12; ngram_max_frequency=4.24023142986e-11; ngram_nonzero_years=2; ngram_years=2000-2019
above lower side of	above lower side of	above lower side of	above|lower|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.03678347158e-11; ngram_max_frequency=8.48046285973e-11; ngram_nonzero_years=3; ngram_years=2000-2019
above margin of	above margin of	above margin of	above|margin|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.68510737844e-10; ngram_max_frequency=1.30705546386e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above middle of	above middle of	above middle of	above|middle|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.09573009693e-09; ngram_max_frequency=4.42944397827e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above opening of	above opening of	above opening of	above|opening|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.27862442335e-10; ngram_max_frequency=3.61069618648e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above outer edge of	above outer edge of	above outer edge of	above|outer|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=7.20919065764e-11; ngram_max_frequency=5.69792268923e-10; ngram_nonzero_years=8; ngram_years=2000-2019
above outside of	above outside of	above outside of	above|outside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.85304473155e-10; ngram_max_frequency=1.13042630812e-09; ngram_nonzero_years=19; ngram_years=2000-2019
above peak of	above peak of	above peak of	above|peak|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=6.59001389049e-11; ngram_max_frequency=3.4780153757e-10; ngram_nonzero_years=15; ngram_years=2000-2019
above periphery of	above periphery of	above periphery of	above|periphery|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=6.17826748095e-11; ngram_max_frequency=7.21291470995e-10; ngram_nonzero_years=5; ngram_years=2000-2019
above rear of	above rear of	above rear of	above|rear|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.32229197157e-10; ngram_max_frequency=9.01683061549e-10; ngram_nonzero_years=17; ngram_years=2000-2019
above right of	above right of	above right of	above|right|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=8.04687415486e-10; ngram_max_frequency=1.91607651967e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above right side of	above right side of	above right side of	above|right|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=8.18751769507e-11; ngram_max_frequency=3.23485072062e-10; ngram_nonzero_years=13; ngram_years=2000-2019
above rim of	above rim of	above rim of	above|rim|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.64787913712e-10; ngram_max_frequency=1.29073207678e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above side of	above side of	above side of	above|side|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.5805484907e-10; ngram_max_frequency=8.76188011034e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above summit of	above summit of	above summit of	above|summit|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=6.02653243281e-11; ngram_max_frequency=2.42667080874e-10; ngram_nonzero_years=12; ngram_years=2000-2019
above surface of	above surface of	above surface of	above|surface|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.16537982848e-09; ngram_max_frequency=5.87907988958e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the apex of	above the apex of	above the apex of	above|the|apex|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.95976570248e-09; ngram_max_frequency=5.93934149085e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the back edge of	above the back edge of	above the back edge of	above|the|back|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.07332251073e-10; ngram_max_frequency=3.5044994684e-10; ngram_nonzero_years=15; ngram_years=2000-2019
above the back half of	above the back half of	above the back half of	above|the|back|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=5.20548342278e-11; ngram_max_frequency=2.42182968124e-10; ngram_nonzero_years=12; ngram_years=2000-2019
above the back of	above the back of	above the back of	above|the|back|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.15568279696e-08; ngram_max_frequency=1.59872780292e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the back part of	above the back part of	above the back part of	above|the|back|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.09533282618e-10; ngram_max_frequency=2.40152231434e-10; ngram_nonzero_years=19; ngram_years=2000-2019
above the back side of	above the back side of	above the back side of	above|the|back|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=8.99288888148e-11; ngram_max_frequency=2.47718179303e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above the background of	above the background of	above the background of	above|the|background|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.2238334025e-09; ngram_max_frequency=2.26335986758e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the base of	above the base of	above the base of	above|the|base|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.74603181132e-08; ngram_max_frequency=6.9582200557e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the border of	above the border of	above the border of	above|the|border|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.18988380676e-09; ngram_max_frequency=2.0835549952e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the bottom of	above the bottom of	above the bottom of	above|the|bottom|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.36018605034e-08; ngram_max_frequency=5.48995666705e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the boundary of	above the boundary of	above the boundary of	above|the|boundary|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.47198495038e-10; ngram_max_frequency=1.74686620724e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the center of	above the center of	above the center of	above|the|center|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.6390814313e-08; ngram_max_frequency=4.31841885029e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the core of	above the core of	above the core of	above|the|core|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=5.96421933022e-10; ngram_max_frequency=1.02809063346e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the corner of	above the corner of	above the corner of	above|the|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.97531125258e-09; ngram_max_frequency=4.04690503331e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the crest of	above the crest of	above the crest of	above|the|crest|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=9.06371859493e-09; ngram_max_frequency=1.24612615504e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the doorway of	above the doorway of	above the doorway of	above|the|doorway|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.45718211281e-09; ngram_max_frequency=5.26280607982e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the edge of	above the edge of	above the edge of	above|the|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.35262201478e-08; ngram_max_frequency=5.36114712624e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the end of	above the end of	above the end of	above|the|end|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=9.425937386e-09; ngram_max_frequency=1.1674342125e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the entrance of	above the entrance of	above the entrance of	above|the|entrance|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=9.15345976082e-09; ngram_max_frequency=1.64680986903e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the exit of	above the exit of	above the exit of	above|the|exit|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.73782964944e-10; ngram_max_frequency=7.09859108994e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the exterior of	above the exterior of	above the exterior of	above|the|exterior|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.33627391097e-10; ngram_max_frequency=3.7354347393e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above the face of	above the face of	above the face of	above|the|face|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.76092336128e-09; ngram_max_frequency=5.79252490418e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the far edge of	above the far edge of	above the far edge of	above|the|far|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.20321947839e-10; ngram_max_frequency=5.83983195135e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the far end of	above the far end of	above the far end of	above|the|far|end|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.07868771207e-09; ngram_max_frequency=1.71283403433e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the far side of	above the far side of	above the far side of	above|the|far|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=9.2003103816e-10; ngram_max_frequency=1.77866210649e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the flank of	above the flank of	above the flank of	above|the|flank|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.02604881015e-10; ngram_max_frequency=1.83632276052e-10; ngram_nonzero_years=19; ngram_years=2000-2019
above the foot of	above the foot of	above the foot of	above|the|foot|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.21613199353e-09; ngram_max_frequency=4.3901542679e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the foreground of	above the foreground of	above the foreground of	above|the|foreground|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.53509483439e-11; ngram_max_frequency=2.11246908854e-10; ngram_nonzero_years=13; ngram_years=2000-2019
above the front edge of	above the front edge of	above the front edge of	above|the|front|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.59408150305e-10; ngram_max_frequency=2.37127673053e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the front half of	above the front half of	above the front half of	above|the|front|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.5111406397e-11; ngram_max_frequency=8.98876945099e-11; ngram_nonzero_years=6; ngram_years=2000-2019
above the front of	above the front of	above the front of	above|the|front|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.42858560363e-09; ngram_max_frequency=3.97424493315e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the front part of	above the front part of	above the front part of	above|the|front|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.24473942906e-10; ngram_max_frequency=9.4382082011e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the front side of	above the front side of	above the front side of	above|the|front|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.77553327943e-11; ngram_max_frequency=8.3426168751e-11; ngram_nonzero_years=7; ngram_years=2000-2019
above the head of	above the head of	above the head of	above|the|head|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=5.42804553687e-08; ngram_max_frequency=7.40062740534e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the heart of	above the heart of	above the heart of	above|the|heart|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.22912255668e-09; ngram_max_frequency=5.36916083815e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the inner edge of	above the inner edge of	above the inner edge of	above|the|inner|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.21011349725e-10; ngram_max_frequency=3.30290905737e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the inner part of	above the inner part of	above the inner part of	above|the|inner|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.57136739037e-10; ngram_max_frequency=4.46027187406e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above the inner side of	above the inner side of	above the inner side of	above|the|inner|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=7.09229439066e-11; ngram_max_frequency=2.23708662705e-10; ngram_nonzero_years=14; ngram_years=2000-2019
above the inner surface of	above the inner surface of	above the inner surface of	above|the|inner|surface|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.29638541915e-10; ngram_max_frequency=3.13192111134e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above the inside of	above the inside of	above the inside of	above|the|inside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.63975638831e-09; ngram_max_frequency=3.49085937934e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the interior of	above the interior of	above the interior of	above|the|interior|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.67774731155e-10; ngram_max_frequency=7.20839360424e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the left corner of	above the left corner of	above the left corner of	above|the|left|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.97452908726e-10; ngram_max_frequency=8.80558181926e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the left edge of	above the left edge of	above the left edge of	above|the|left|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.89116897957e-10; ngram_max_frequency=6.30247964928e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the left half of	above the left half of	above the left half of	above|the|left|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.0407095645e-11; ngram_max_frequency=2.31569069475e-10; ngram_nonzero_years=14; ngram_years=2000-2019
above the left of	above the left of	above the left of	above|the|left|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.58958902811e-10; ngram_max_frequency=3.16559778391e-10; ngram_nonzero_years=19; ngram_years=2000-2019
above the left part of	above the left part of	above the left part of	above|the|left|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.4360579099e-11; ngram_max_frequency=1.56739302093e-10; ngram_nonzero_years=12; ngram_years=2000-2019
above the left side of	above the left side of	above the left side of	above|the|left|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.74147155134e-09; ngram_max_frequency=2.50616372099e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the lower corner of	above the lower corner of	above the lower corner of	above|the|lower|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=5.02072773981e-11; ngram_max_frequency=5.06307884507e-10; ngram_nonzero_years=9; ngram_years=2000-2019
above the lower edge of	above the lower edge of	above the lower edge of	above|the|lower|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.2744895186e-09; ngram_max_frequency=3.75705910827e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the lower half of	above the lower half of	above the lower half of	above|the|lower|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.07091280235e-10; ngram_max_frequency=5.50474998917e-10; ngram_nonzero_years=16; ngram_years=2000-2019
above the lower part of	above the lower part of	above the lower part of	above|the|lower|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=7.83281717091e-10; ngram_max_frequency=1.33407929148e-09; ngram_nonzero_years=20; ngram_years=2000-2019
