surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
up corner of	up corner of	up corner of	up|corner|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.83778590401e-09; ngram_max_frequency=5.62617552546e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up crest of	up crest of	up crest of	up|crest|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.00278692536e-11; ngram_max_frequency=1.09110748214e-10; ngram_nonzero_years=10; ngram_years=2000-2019
up doorway of	up doorway of	up doorway of	up|doorway|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.68011678128e-10; ngram_max_frequency=6.74228839426e-10; ngram_nonzero_years=20; ngram_years=2000-2019
up edge of	up edge of	up edge of	up|edge|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.65142693409e-09; ngram_max_frequency=2.48151632576e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up end of	up end of	up end of	up|end|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.01344642382e-09; ngram_max_frequency=4.29566112542e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up entrance of	up entrance of	up entrance of	up|entrance|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.88879697247e-10; ngram_max_frequency=7.63775265256e-10; ngram_nonzero_years=20; ngram_years=2000-2019
up exterior of	up exterior of	up exterior of	up|exterior|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=9.60447743906e-11; ngram_max_frequency=2.86572737762e-10; ngram_nonzero_years=16; ngram_years=2000-2019
up face of	up face of	up face of	up|face|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.33998979585e-09; ngram_max_frequency=5.29697485874e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up flank of	up flank of	up flank of	up|flank|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.88337042142e-11; ngram_max_frequency=1.50280510258e-10; ngram_nonzero_years=6; ngram_years=2000-2019
up foot of	up foot of	up foot of	up|foot|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.69440619989e-11; ngram_max_frequency=7.49143178047e-11; ngram_nonzero_years=13; ngram_years=2000-2019
